mood,timestamp,Calories
1,1,0
1,2,594
1,3,594
1,4,594
1,5,1094
1,6,1094
1,7,1094
1,8,1094
1,9,1094
1,10,1094
1,11,1588
1,12,1588
1,13,2290
1,14,2783
1,15,2783
1,16,3298
1,17,3298
1,18,3849
1,19,4377
1,20,4377
1,21,4377
1,22,4377
1,23,5067
1,24,5067
1,25,5067
1,26,5067
1,27,5339
1,28,5339
1,29,5339
1,30,5933
1,31,5933
1,32,5933
1,33,5933
1,34,5933
1,35,5933
1,36,5933
1,37,5933
1,38,6574
1,39,6574
1,40,7453
1,41,7453
1,42,7453
1,43,7453
1,44,7453
1,45,7453
1,46,7453
2,1,0
2,2,0
2,3,669
2,4,669
2,5,669
2,6,1188
2,7,1188
2,8,1188
2,9,1188
2,10,1188
2,11,1188
2,12,1188
2,13,1188
2,14,1188
2,15,1188
2,16,1188
2,17,1188
2,18,1188
2,19,1188
2,20,1188
2,21,1188
2,22,1188
2,23,1188
2,24,1188
2,25,1188
2,26,1188
2,27,1188
2,28,1845
2,29,1845
2,30,1845
2,31,1845
2,32,1845
2,33,1845
2,34,2775
2,35,2775
2,36,2775
2,37,2775
2,38,2775
2,39,2775
2,40,2775
2,41,2775
2,42,2775
2,43,2775
2,44,2775
2,45,2775
2,46,2775
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
3,14,0
3,15,0
3,16,0
3,17,0
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,893
3,25,893
3,26,893
3,27,893
3,28,893
3,29,893
3,30,893
3,31,1587
3,32,1587
3,33,1587
3,34,1587
3,35,1587
3,36,1587
3,37,1587
3,38,1587
3,39,1587
3,40,1587
3,41,1587
3,42,1587
3,43,1587
3,44,1587
3,45,1587
3,46,1587
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,628
4,13,628
4,14,628
4,15,628
4,16,628
4,17,628
4,18,628
4,19,628
4,20,628
4,21,628
4,22,628
4,23,628
4,24,628
4,25,628
4,26,628
4,27,628
4,28,628
4,29,628
4,30,628
4,31,628
4,32,628
4,33,628
4,34,628
4,35,628
4,36,1230
4,37,1230
4,38,1230
4,39,1230
4,40,1230
4,41,1230
4,42,1230
4,43,1230
4,44,1230
4,45,1230
4,46,1230
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,893
5,9,893
5,10,1848
5,11,1848
5,12,1848
5,13,1848
5,14,1848
5,15,1848
5,16,1848
5,17,1848
5,18,1848
5,19,1848
5,20,1848
5,21,1848
5,22,1848
5,23,1848
5,24,1848
5,25,1848
5,26,1848
5,27,1848
5,28,1848
5,29,1848
5,30,1848
5,31,1848
5,32,1848
5,33,1848
5,34,1848
5,35,1848
5,36,1848
5,37,1848
5,38,1848
5,39,1848
5,40,1848
5,41,1848
5,42,2556
5,43,2556
5,44,2649
5,45,3037
5,46,3037
6,1,985
6,2,985
6,3,985
6,4,1634
6,5,1634
6,6,1634
6,7,2019
6,8,2019
6,9,2547
6,10,2547
6,11,2547
6,12,2547
6,13,2547
6,14,2547
6,15,2718
6,16,2718
6,17,3218
6,18,3218
6,19,3218
6,20,3875
6,21,4532
6,22,5321
6,23,5321
6,24,5321
6,25,5321
6,26,6270
6,27,6270
6,28,6270
6,29,6270
6,30,6270
6,31,6270
6,32,6639
6,33,7073
6,34,7073
6,35,7073
6,36,7073
6,37,7073
6,38,7073
6,39,7073
6,40,7073
6,41,7845
6,42,7845
6,43,8489
6,44,8489
6,45,8489
6,46,8489
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,0
8,14,0
8,15,0
8,16,0
8,17,0
8,18,0
8,19,0
8,20,0
8,21,0
8,22,0
8,23,0
8,24,0
8,25,586
8,26,586
8,27,586
8,28,586
8,29,1248
8,30,1248
8,31,1248
8,32,1248
8,33,1248
8,34,1248
8,35,1805
8,36,1805
8,37,2720
8,38,2720
8,39,3377
8,40,3377
8,41,3377
8,42,3377
8,43,3377
8,44,3377
8,45,3377
8,46,3584
